
TAMQFLHXC3W#show ap cdp neighbors
Number of neighbors: 146
AP Name                          AP IP                                     Neighbor Name                              Neighbor IP        Neighbor Port
TAMWAP006-149                    192.168.2.108                             TAMQFLHX04W.chtrse.com                     192.168.2.106      TenGigabitEthernet1/0/4
TAMWAP108-311                    192.168.0.69                              TAMQFLHX12W.chtrse.com                     192.168.2.123      TenGigabitEthernet1/0/12
TAMWAP139-342                    192.168.3.226                             TAMQFLHX14W.chtrse.com                     10.254.97.58       TenGigabitEthernet1/0/16
TAMWAP111-314                    192.168.2.168                             TAMQFLHX12W.chtrse.com                     192.168.2.123      TenGigabitEthernet1/0/15
TAMWAP018-161                    192.168.2.115                             TAMQFLHX05W.chtrse.com                     192.168.2.142      TenGigabitEthernet1/0/6
TAMWAP055-130                    192.168.1.167                             TAMQFLHX08W.chtrse.com                     192.168.1.175      TenGigabitEthernet1/0/11
TAMWAP408-761                    192.168.1.82                              TAMQFLHX36W.chtrse.com                     10.254.97.80       TenGigabitEthernet1/0/5
TAMWAP155-357                    192.168.3.58                              TAMQFLHX15W.chtrse.com                     192.168.0.191      TenGigabitEthernet1/0/13
TAMWAP129-332                    192.168.3.130                             TAMQFLHX14W.chtrse.com                     10.254.97.58       TenGigabitEthernet1/0/6
TAMWAP118-321                    192.168.2.143                             TAMQFLHX13W.chtrse.com                     192.168.1.211      TenGigabitEthernet1/0/6
TAMWAP405-758                    192.168.1.80                              TAMQFLHX36W.chtrse.com                     10.254.97.80       TenGigabitEthernet1/0/2
TAMWAP113-316                    192.168.2.202                             TAMQFLHX13W.chtrse.com                     192.168.1.211      TenGigabitEthernet1/0/1
TAMWAP030-105                    192.168.1.156                             TAMQFLHX07W.chtrse.com                     10.254.97.51       TenGigabitEthernet1/0/5
TAMWAP120-323                    192.168.3.17                              TAMQFLHX13W.chtrse.com                     192.168.1.211      TenGigabitEthernet1/0/8
TAMWAP137-340                    192.168.3.228                             TAMQFLHX14W.chtrse.com                     10.254.97.58       TenGigabitEthernet1/0/14
TAMWAP127-330                    192.168.3.217                             TAMQFLHX14W.chtrse.com                     10.254.97.58       TenGigabitEthernet1/0/4
TAMWAP117-320                    192.168.1.212                             TAMQFLHX13W.chtrse.com                     192.168.1.211      TenGigabitEthernet1/0/5
TAMWAP016-159                    192.168.2.114                             TAMQFLHX05W.chtrse.com                     192.168.2.142      TenGigabitEthernet1/0/4
TAMWAP051-126                    192.168.2.126                             TAMQFLHX08W.chtrse.com                     192.168.1.175      TenGigabitEthernet1/0/7
TAMWAP054-129                    192.168.1.191                             TAMQFLHX08W.chtrse.com                     192.168.1.175      TenGigabitEthernet1/0/10
